Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Priority,14,2,2.941617899106496,1.146128035678238,-4.325182668494658,-1.5144366332379142
Bidir,14,2,3.163523420171081,1.146128035678238,-4.368277354204117,-1.2845462006115675
Power,82,2,3.852994769276912,1.9138138523837165,-6.002804089151721,-0.2436923432106402
Priority,82,2,3.461198288622493,1.848702164283082,-4.0126008941046125,-0.5008473699630379
Bidir,82,2,3.6968803716827625,1.8591716673419485,-4.14281432348653,-0.3169689722591449
Power,8,1,2.850033257689769,0.9030899869919436,-5.314772174517063,-1.584310019099984
Priority,8,1,2.622861354256069,0.8677620246502007,-4.165686669963884,-1.754998000055635
Bidir,8,1,2.820037171803748,0.8677620246502007,-4.181236833972858,-1.5618034813130977
Power,12,2,3.1115425410605417,1.0791812460476249,-5.030239151273364,-1.3569036982678184
Priority,12,2,2.7676505067756323,1.0380900496081396,-4.064668418396143,-1.7263376550054892
Bidir,12,2,2.9386031070490537,1.0791812460476249,-4.394996748133659,-1.5052427635412549
Power,10,2,2.9848872010643275,1.0,-5.238757513981558,-1.6088455632347376
Priority,10,2,2.782830805202592,1.0,-4.436016238322105,-1.773400232441493
Bidir,10,2,2.944827996343216,1.0,-4.635364821460282,-1.631075019494136
Power,30,2,3.4850206917142708,1.4771212547196624,-5.120510081847674,-0.6865122496951526
Priority,30,2,3.182072103857387,1.4766384370135663,-4.173770119546868,-0.9346852845730308
Bidir,30,2,3.4168179605229976,1.4766384370135663,-4.495337155762836,-0.7100292613192227
Power,55,2,3.698028426609764,1.7403626894942437,-5.698699219358429,-0.390382371109512
Priority,55,2,3.362460931831857,1.6967307267670555,-3.946637727092357,-0.7560376675099837
Bidir,55,2,3.5730109256733864,1.6851016581888254,-4.05410163937175,-0.5250059746433178
Power,31,2,3.484106878789285,1.4913616938342726,-5.542934174507094,-0.667414850416078
Priority,31,2,3.20961877621602,1.4868188231031414,-3.986024602767905,-0.8960101095642303
Bidir,31,2,3.395038778951786,1.4794499170382454,-4.308660329949263,-0.7266366134456501
Power,138,3,4.10311740217131,2.1398790864012365,-6.094247709556698,0.0459624797529778
Priority,138,3,3.726597260199872,2.1242926834360896,-3.9501539802269177,-0.236610269368984
Bidir,138,3,4.041808640317031,2.1398790864012365,-4.321432750453553,0.2588831465971065
Power,87,2,3.877401744139653,1.939519252618619,-5.764091061618766,0.0652553800661339
Priority,87,2,3.466921142162795,1.8623301865867783,-3.977685698918498,-0.2696705417336975
Bidir,87,2,3.7369230030195775,1.8920946026904804,-4.215031569927767,-0.0622519170760504
Power,33,2,3.48581603371034,1.5185139398778875,-5.827510567471067,-0.5773897486323423
Priority,33,2,3.222140813130193,1.5006023505691852,-4.020422432854017,-0.8705784055454413
Bidir,33,2,3.460013508699669,1.513701763420094,-4.206890299638701,-0.6377012113718454
Power,29,2,3.415019424516605,1.462397997898956,-5.298203322531149,-0.7892647863499886
Priority,29,2,3.177446935182644,1.454582049421426,-4.14803482106829,-0.8899228661486197
Bidir,29,2,3.505748592449006,1.462397997898956,-4.621888952058855,-0.6578672823220759
Power,53,2,3.68021633484373,1.7242758696007887,-5.801855635555531,-0.40807247191094
Priority,53,2,3.3401607252823284,1.6927210550590173,-4.025267460943257,-0.7738595096130694
Bidir,53,2,3.57759683190809,1.700456467219808,-4.261653284742977,-0.4968345927755465
Power,87,2,3.865331036080527,1.939519252618619,-5.549080920445746,-0.2447449022167968
Priority,87,2,3.4647213212642978,1.864807629026147,-3.9401477128245297,-0.5442763210135865
Bidir,87,2,3.764412774595132,1.9138138523837167,-4.2714187118838645,-0.2588676641183994
Power,24,2,3.2610248339923973,1.380211241711606,-5.858555804616655,-0.8479488270853546
Priority,24,2,3.054868296692888,1.380211241711606,-4.184758900913009,-1.1388344884356008
Bidir,24,2,3.295823569483015,1.380211241711606,-4.349288259571605,-0.9669607081363276
Power,79,2,3.855976562698024,1.8976270912904407,-5.467431318106778,-0.2319905752332333
Priority,79,2,3.444044795918076,1.830731200515076,-3.9907095324545727,-0.5516436681923617
Bidir,79,2,3.751749420475375,1.8976270912904407,-4.496074104924007,-0.2763632747175694
Power,32,2,3.466774970864285,1.505149978319906,-5.438336524869886,-0.5979616570521482
Priority,32,2,3.218601143315633,1.4987411879170045,-4.018663078342121,-0.900883078325666
Bidir,32,2,3.459317082865925,1.5017437296279943,-4.181641495934821,-0.6742493841876822
Power,29,2,3.453423789721443,1.462397997898956,-5.476899559765658,-0.6953080225780297
Priority,29,2,3.2065095044029057,1.4587680527387823,-4.022136161513642,-0.9758554007396506
Bidir,29,2,3.4634295767257863,1.462397997898956,-4.634272175714528,-0.6850778260015062
Power,24,2,3.3035560197137057,1.380211241711606,-5.835653204976229,-0.957517181139814
Priority,24,2,3.1082266563749283,1.380211241711606,-4.149542334548228,-1.1466721888592213
Bidir,24,2,3.3763335866484043,1.380211241711606,-4.385426674420312,-0.8794700991360511
Power,19,2,3.2907139469726063,1.2787536009528289,-5.128392181022326,-1.0658172844896434
Priority,19,2,3.033571881362302,1.266553515512995,-4.180697055884082,-1.3091744408173478
Bidir,19,2,3.2646687260868945,1.2787536009528289,-4.417660208842043,-1.0366918546004682
Power,38,2,3.5291956164479394,1.5797835966168103,-5.735389705965478,-0.5283474289918576
Priority,38,2,3.254444488681076,1.5658478186735176,-4.073086799251765,-0.8195231651375741
Bidir,38,2,3.439486079855985,1.558022481161561,-4.159173516032588,-0.6520471392906307
Power,129,3,4.068095562446137,2.110589710299249,-6.207114398681578,0.0154319158955769
Priority,129,3,3.7112941143983535,2.1041732546790843,-3.993690119828995,-0.3010121864829327
Bidir,129,3,3.9527715057479695,2.101672778422808,-4.279896344052745,0.0246004871771324
Power,12,2,3.038984239195499,1.0791812460476249,-5.420914873180564,-1.000018017007671
Priority,12,2,2.8910261127592296,1.0791812460476249,-4.260272334668852,-1.3812354619679372
Bidir,12,2,3.119640731555581,1.0791812460476249,-4.374131206961637,-1.1218788443467425
Power,23,2,3.300482061459989,1.3617278360175928,-5.6006380722121225,-0.7258962128151732
